2019-06-17 13:27:13,670 [      0]   INFO -        #com.intellij.idea.Main - ------------------------------------------------------ IDE STARTED ------------------------------------------------------ 
2019-06-17 13:27:14,178 [    508]   INFO -        #com.intellij.idea.Main - IDE: PhpStorm (build #PS-191.7141.52, 08 May 2019 19:26) 
2019-06-17 13:27:14,178 [    508]   INFO -        #com.intellij.idea.Main - OS: Linux (4.18.0-15-generic, amd64) 
2019-06-17 13:27:14,178 [    508]   INFO -        #com.intellij.idea.Main - JRE: 1.8.0_202-release-1483-b49 (JetBrains s.r.o) 
2019-06-17 13:27:14,178 [    508]   INFO -        #com.intellij.idea.Main - JVM: 25.202-b49 (OpenJDK 64-Bit Server VM) 
2019-06-17 13:27:14,263 [    593]   INFO -        #com.intellij.idea.Main - JVM Args: -Xms128m -Xmx750m -XX:ReservedCodeCacheSize=240m -XX:+UseConcMarkSweepGC -XX:SoftRefLRUPolicyMSPerMB=50 -ea -Dsun.io.useCanonCaches=false -Djava.net.preferIPv4Stack=true -Djdk.http.auth.tunneling.disabledSchemes="" -XX:+HeapDumpOnOutOfMemoryError -XX:-OmitStackTraceInFastThrow -Dawt.useSystemAAFontSettings=lcd -Dsun.java2d.renderer=sun.java2d.marlin.MarlinRenderingEngine -XX:ErrorFile=/home/akv/java_error_in_PHPSTORM_%p.log -XX:HeapDumpPath=/home/akv/java_error_in_PHPSTORM.hprof -Didea.paths.selector=PhpStorm2019.1 -Djb.vmOptionsFile=/snap/phpstorm/98/bin/phpstorm64.vmoptions -Didea.platform.prefix=PhpStorm -Didea.jre.check=true 
2019-06-17 13:27:14,263 [    593]   INFO -        #com.intellij.idea.Main - ext: /snap/phpstorm/98/jre64/lib/ext: [cldrdata.jar, dnsns.jar, jaccess.jar, jfxrt.jar, localedata.jar, meta-index, nashorn.jar, sunec.jar, sunjce_provider.jar, sunpkcs11.jar, zipfs.jar] 
2019-06-17 13:27:14,263 [    593]   INFO -        #com.intellij.idea.Main - charsets: JNU=UTF-8 file=UTF-8 
2019-06-17 13:27:14,456 [    786]   INFO -        #com.intellij.idea.Main - JNA library (64-bit) loaded in 192 ms 
2019-06-17 13:27:17,879 [   4209]   INFO -     #com.intellij.util.ui.JBUI - System scale factor: 1.0 (IDE-managed HiDPI) 
2019-06-17 13:27:17,879 [   4209]   INFO -     #com.intellij.util.ui.JBUI - User scale factor: 1.0 
2019-06-17 13:27:30,690 [  17020]   INFO - m.intellij.ui.mac.touchbar.NST - OS doesn't support touchbar, skip nst loading 
2019-06-17 13:27:43,850 [  30180]   INFO - llij.ide.plugins.PluginManager - Cannot find optional descriptor js-nashorn-support.xml 
2019-06-17 13:27:44,911 [  31241]   INFO - llij.ide.plugins.PluginManager - Cannot find optional descriptor uml-properties-support.xml 
2019-06-17 13:27:44,911 [  31241]   INFO - llij.ide.plugins.PluginManager - Cannot find optional descriptor uml-java-support.xml 
2019-06-17 13:27:45,402 [  31732]   INFO - llij.ide.plugins.PluginManager - load plugin descriptors took 2613 ms 
2019-06-17 13:28:11,797 [  58127]   INFO - .intellij.util.io.HttpRequests - Application is not initialized yet; Using default SSL configuration to connect to https://plugins.jetbrains.com/pluginManager/?action=download&id=BashSupport&build=PS-191.7141.52&uuid=9535bf30-c33d-4a4a-b0fd-c08ac221b4ad 
2019-06-17 13:28:16,072 [  62402]   INFO - .intellij.util.io.HttpRequests - Application is not initialized yet; Using default SSL configuration to connect to https://plugins.jetbrains.com/pluginManager/?action=download&id=org.editorconfig.editorconfigjetbrains&build=PS-191.7141.52&uuid=9535bf30-c33d-4a4a-b0fd-c08ac221b4ad 
2019-06-17 13:28:21,989 [  68319]   INFO - llij.ide.plugins.PluginManager - Cannot find optional descriptor js-nashorn-support.xml 
2019-06-17 13:28:22,377 [  68707]   INFO - llij.ide.plugins.PluginManager - Cannot find optional descriptor uml-properties-support.xml 
2019-06-17 13:28:22,377 [  68707]   INFO - llij.ide.plugins.PluginManager - Cannot find optional descriptor uml-java-support.xml 
2019-06-17 13:28:22,553 [  68883]   INFO - llij.ide.plugins.PluginManager - load plugin descriptors took 791 ms 
2019-06-17 13:28:36,645 [  82975]   INFO - .intellij.idea.IdeaApplication - CPU cores: 1; ForkJoinPool.commonPool: java.util.concurrent.ForkJoinPool@492e94f[Running, parallelism = 1, size = 0, active = 0, running = 0, steals = 0, tasks = 0, submissions = 0]; factory: com.intellij.concurrency.IdeaForkJoinWorkerThreadFactory@141b7b86 
2019-06-17 13:28:36,760 [  83090]   INFO - .intellij.idea.IdeaApplication - WM detected: GNOME Shell 
2019-06-17 13:28:37,684 [  84014]   INFO - llij.ide.plugins.PluginManager - Cannot find optional descriptor js-nashorn-support.xml 
2019-06-17 13:28:37,955 [  84285]   INFO - llij.ide.plugins.PluginManager - Cannot find optional descriptor uml-properties-support.xml 
2019-06-17 13:28:37,955 [  84285]   INFO - llij.ide.plugins.PluginManager - Cannot find optional descriptor uml-java-support.xml 
2019-06-17 13:28:38,296 [  84626]   INFO - llij.ide.plugins.PluginManager - load plugin descriptors took 991 ms 
2019-06-17 13:28:38,322 [  84652]   INFO - llij.ide.plugins.PluginManager - Plugin 'IntelliJ Configuration Script' can't be loaded because: Plugin does not include any module dependency tags in its plugin.xml therefore is assumed legacy and can be loaded only in IntelliJ IDEA 
2019-06-17 13:28:38,645 [  84975]   INFO - llij.ide.plugins.PluginManager - 67 plugins initialized in 1348 ms 
